n_agents,auth_model,repetitions,compromise_fraction_mean,compromise_fraction_ci95_low,compromise_fraction_ci95_high,authorization_integrity_loss_mean,authorization_integrity_loss_ci95_low,authorization_integrity_loss_ci95_high,weighted_blast_radius_mean,weighted_blast_radius_ci95_low,weighted_blast_radius_ci95_high,containment_latency_mean,containment_latency_ci95_low,containment_latency_ci95_high,security_qualified_ratio_mean,security_qualified_ratio_ci95_low,security_qualified_ratio_ci95_high
1,least_privilege,30,0.0,0.0,0.0,0.02222222222222222,0.0,0.0524849852046248,0.0033333333333333335,0.0,0.00787274778069372,0.4,0.22169534015024195,0.5783046598497581,0.9966666666666666,0.9921272522193062,1.0
1,shared_privilege,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.19127499768580336,0.5420583356475299,1.0,1.0,1.0
4,least_privilege,30,0.0,0.0,0.0,0.0022222222222222222,0.0,0.006577777777777778,0.001282051282051282,0.0,0.003794871794871795,2.433333333333333,0.8201295577811127,1.0,0.9995833333333334,0.9987666666666667,1.0
4,shared_privilege,30,0.0,0.0,0.0,0.002564102564102564,0.0,0.00758974358974359,0.00007575757575757577,0.0,0.00022424242424242427,2.7333333333333334,1.0,1.0,0.9995833333333334,0.9987666666666667,1.0
16,least_privilege,30,0.0,0.0,0.0,0.003416666666666667,0.0,0.00818816365659595,0.0000980392156862745,0.0,0.00023155140531452118,3.1,1.0,1.0,0.9997916666666666,0.9995079532637066,1.0
16,shared_privilege,30,0.010416666666666666,0.0,0.03083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.1333333333333333,0.5756932281363698,1.0,1.0,1.0,1.0
64,least_privilege,30,0.0036458333333333334,0.0,0.009820500256656782,0.0033613445378151263,0.0,0.008346499288440473,0.000028248587570621472,0.0,0.00006671820153130272,2.533333333333333,0.3765483839219037,1.0,0.9999479166666667,0.9998769883159268,1.0
64,shared_privilege,30,0.0026041666666666665,0.0,0.007708333333333333,0.011805555555555554,0.0,0.025605443766861094,0.00009583274213473055,0.0,0.00022031536312529736,2.6666666666666665,0.907722016166002,1.0,0.9998958333333333,0.999774453154766,1.0
